date,total_visits
2024-07-01,93
2024-07-02,67
2024-07-03,76
2024-07-04,46
2024-07-05,89
2024-07-06,83
2024-07-07,89
2024-07-08,104
2024-07-09,94
2024-07-10,94
2024-07-11,82
2024-07-12,95
2024-07-13,80
2024-07-14,75
2024-07-15,94
2024-07-16,89
2024-07-17,85
2024-07-18,77
2024-07-19,81
2024-07-20,79
2024-07-21,80
2024-07-22,87
2024-07-23,99
2024-07-24,87
2024-07-25,84
2024-07-26,68
2024-07-27,60
2024-07-28,72
2024-07-29,93
2024-07-30,85
2024-07-31,87
2024-08-01,92
2024-08-02,84
2024-08-03,73
2024-08-04,84
2024-08-05,97
2024-08-06,98
2024-08-07,80
2024-08-08,78
2024-08-09,77
2024-08-10,67
2024-08-11,76
2024-08-12,92
2024-08-13,84
2024-08-14,90
2024-08-15,84
2024-08-16,83
2024-08-17,85
2024-08-18,76
2024-08-19,106
2024-08-20,91
2024-08-21,88
2024-08-22,89
2024-08-23,77
2024-08-24,62
2024-08-25,66
2024-08-26,106
2024-08-27,96
2024-08-28,87
2024-08-29,84
2024-08-30,87
2024-08-31,78
2024-09-01,72
2024-09-02,68
2024-09-03,91
2024-09-04,97
2024-09-05,97
2024-09-06,85
2024-09-07,81
2024-09-08,74
2024-09-09,86
2024-09-10,94
2024-09-11,89
2024-09-12,92
2024-09-13,86
2024-09-14,69
2024-09-15,76
2024-09-16,97
2024-09-17,82
2024-09-18,81
2024-09-19,102
2024-09-20,84
2024-09-21,80
2024-09-22,82
2024-09-23,99
2024-09-24,85
2024-09-25,79
2024-09-26,80
2024-09-27,78
2024-09-28,66
2024-09-29,70
2024-09-30,96
2024-10-01,80
2024-10-02,96
2024-10-03,86
2024-10-04,76
2024-10-05,54
2024-10-06,69
2024-10-07,86
2024-10-08,80
2024-10-09,69
2024-10-10,76
2024-10-11,78
2024-10-12,77
2024-10-13,65
2024-10-14,96
2024-10-15,86
2024-10-16,98
2024-10-17,82
2024-10-18,86
2024-10-19,55
2024-10-20,60
2024-10-21,74
2024-10-22,73
2024-10-23,76
2024-10-24,72
2024-10-25,65
2024-10-26,49
2024-10-27,74
2024-10-28,68
2024-10-29,83
2024-10-30,90
2024-10-31,74
2024-11-01,96
2024-11-02,77
2024-11-03,80
2024-11-04,89
2024-11-05,82
2024-11-06,96
2024-11-07,71
2024-11-08,94
2024-11-09,76
2024-11-10,70
2024-11-11,93
2024-11-12,83
2024-11-13,89
2024-11-14,80
2024-11-15,71
2024-11-16,84
2024-11-17,69
2024-11-18,86
2024-11-19,87
2024-11-20,92
2024-11-21,87
2024-11-22,88
2024-11-23,86
2024-11-24,76
2024-11-25,85
2024-11-26,79
2024-11-27,90
2024-11-28,46
2024-11-29,88
2024-11-30,58
2024-12-01,51
2024-12-02,91
2024-12-03,68
2024-12-04,82
2024-12-05,93
2024-12-06,83
2024-12-07,60
2024-12-08,84
2024-12-09,92
2024-12-10,81
2024-12-11,87
2024-12-12,72
2024-12-13,84
2024-12-14,64
2024-12-15,80
2024-12-16,88
2024-12-17,87
2024-12-18,100
2024-12-19,84
2024-12-20,85
2024-12-21,84
2024-12-22,66
2024-12-23,88
2024-12-24,63
2024-12-25,57
2024-12-26,93
2024-12-27,104
2024-12-28,75
2024-12-29,89
2024-12-30,98
2024-12-31,89
2025-01-01,72
2025-01-02,95
2025-01-03,87
2025-01-04,91
2025-01-05,50
2025-01-06,45
2025-01-07,79
2025-01-08,65
2025-01-09,89
2025-01-10,73
2025-01-11,72
2025-01-12,74
2025-01-13,85
2025-01-14,74
2025-01-15,79
2025-01-16,89
2025-01-17,93
2025-01-18,71
2025-01-19,53
2025-01-20,73
2025-01-21,88
2025-01-22,84
2025-01-23,82
2025-01-24,73
2025-01-25,78
2025-01-26,65
2025-01-27,80
2025-01-28,71
2025-01-29,88
2025-01-30,89
2025-01-31,81
2025-02-01,82
2025-02-02,71
2025-02-03,71
2025-02-04,85
2025-02-05,80
2025-02-06,82
2025-02-07,82
2025-02-08,76
2025-02-09,61
2025-02-10,95
2025-02-11,61
2025-02-12,82
2025-02-13,74
2025-02-14,77
2025-02-15,70
2025-02-16,70
2025-02-17,96
2025-02-18,73
2025-02-19,65
2025-02-20,63
2025-02-21,93
2025-02-22,67
2025-02-23,68
2025-02-24,93
2025-02-25,77
2025-02-26,79
2025-02-27,90
2025-02-28,78
2025-03-01,74
2025-03-02,83
2025-03-03,91
2025-03-04,73
2025-03-05,84
2025-03-06,84
2025-03-07,83
2025-03-08,76
2025-03-09,65
2025-03-10,88
2025-03-11,90
2025-03-12,82
2025-03-13,78
2025-03-14,73
2025-03-15,48
2025-03-16,75
2025-03-17,73
2025-03-18,89
2025-03-19,63
2025-03-20,87
2025-03-21,85
2025-03-22,80
2025-03-23,61
2025-03-24,86
2025-03-25,93
2025-03-26,77
2025-03-27,87
2025-03-28,77
2025-03-29,67
2025-03-30,62
2025-03-31,95
2025-04-01,76
2025-04-02,78
2025-04-03,65
2025-04-04,77
2025-04-05,66
2025-04-06,80
2025-04-07,72
2025-04-08,93
2025-04-09,87
2025-04-10,78
2025-04-11,68
2025-04-12,64
2025-04-13,76
2025-04-14,84
2025-04-15,84
2025-04-16,66
2025-04-17,75
2025-04-18,71
2025-04-19,62
2025-04-20,67
2025-04-21,71
2025-04-22,90
2025-04-23,93
2025-04-24,76
2025-04-25,82
2025-04-26,72
2025-04-27,74
2025-04-28,72
2025-04-29,80
2025-04-30,66
2025-05-01,49
2025-05-02,72
2025-05-03,63
2025-05-04,67
2025-05-05,86
2025-05-06,87
2025-05-07,76
2025-05-08,62
2025-05-09,83
2025-05-10,57
2025-05-11,55
2025-05-12,84
2025-05-13,78
2025-05-14,71
2025-05-15,69
2025-05-16,70
2025-05-17,59
2025-05-18,64
2025-05-19,88
2025-05-20,68
2025-05-21,64
2025-05-22,71
2025-05-23,91
2025-05-24,60
2025-05-25,55
2025-05-26,70
2025-05-27,76
2025-05-28,75
2025-05-29,90
2025-05-30,67
2025-05-31,68
2025-06-01,57
2025-06-02,76
2025-06-03,67
2025-06-04,68
2025-06-05,102
2025-06-06,84
2025-06-07,70
2025-06-08,67
2025-06-09,80
2025-06-10,77
2025-06-11,74
2025-06-12,77
2025-06-13,69
2025-06-14,59
2025-06-15,57
2025-06-16,77
2025-06-17,85
2025-06-18,82
2025-06-19,74
2025-06-20,76
2025-06-21,62
2025-06-22,71
2025-06-23,77
2025-06-24,78
2025-06-25,74
2025-06-26,68
2025-06-27,55
2025-06-28,69
2025-06-29,67
2025-06-30,61
2025-07-01,68
2025-07-02,63
2025-07-03,72
2025-07-04,47
2025-07-05,50
2025-07-06,67
2025-07-07,75
2025-07-08,67
2025-07-09,67
2025-07-10,70
2025-07-11,84
2025-07-12,61
2025-07-13,58
2025-07-14,86
2025-07-15,69
2025-07-16,75
2025-07-17,75
2025-07-18,77
2025-07-19,63
2025-07-20,58
2025-07-21,93
2025-07-22,73
2025-07-23,91
2025-07-24,67
2025-07-25,81
2025-07-26,59
2025-07-27,61
2025-07-28,71
2025-07-29,84
2025-07-30,62
2025-07-31,80
2025-08-01,62
2025-08-02,70
2025-08-03,65
2025-08-04,86
2025-08-05,77
2025-08-06,71
2025-08-07,75
2025-08-08,75
2025-08-09,62
2025-08-10,56
2025-08-11,82
2025-08-12,68
2025-08-13,71
2025-08-14,69
2025-08-15,82
2025-08-16,73
2025-08-17,81
2025-08-18,70
2025-08-19,72
2025-08-20,80
2025-08-21,75
2025-08-22,68
2025-08-23,72
2025-08-24,63
2025-08-25,80
2025-08-26,69
2025-08-27,57
2025-08-28,56
2025-08-29,72
2025-08-30,65
2025-08-31,57
2025-09-01,70
2025-09-02,71
2025-09-03,76
2025-09-04,63
2025-09-05,76
2025-09-06,57
2025-09-07,50
2025-09-08,75
2025-09-09,77
2025-09-10,75
2025-09-11,67
2025-09-12,69
2025-09-13,60
2025-09-14,60
2025-09-15,94
2025-09-16,80
2025-09-17,85
2025-09-18,52
2025-09-19,77
2025-09-20,67
2025-09-21,55
2025-09-22,74
2025-09-23,75
2025-09-24,87
2025-09-25,72
2025-09-26,81
2025-09-27,65
2025-09-28,46
2025-09-29,66
2025-09-30,61
2025-10-01,65
2025-10-02,67
2025-10-03,73
2025-10-04,50
2025-10-05,56
2025-10-06,74
2025-10-07,63
2025-10-08,79
2025-10-09,57
2025-10-10,71
2025-10-11,54
2025-10-12,60
2025-10-13,89
2025-10-14,64
2025-10-15,70
2025-10-16,66
2025-10-17,75
2025-10-18,53
2025-10-19,66
2025-10-20,76
2025-10-21,73
2025-10-22,63
2025-10-23,64
2025-10-24,74
2025-10-25,61
2025-10-26,59
2025-10-27,76
2025-10-28,63
2025-10-29,64
2025-10-30,89
2025-10-31,77
2025-11-01,67
2025-11-02,65
2025-11-03,72
2025-11-04,78
2025-11-05,72
2025-11-06,70
2025-11-07,57
2025-11-08,58
2025-11-09,66
2025-11-10,68
2025-11-11,63
2025-11-12,76
2025-11-13,64
2025-11-14,84
2025-11-15,65
2025-11-16,76
2025-11-17,85
2025-11-18,75
2025-11-19,69
2025-11-20,59
2025-11-21,69
2025-11-22,51
2025-11-23,59
2025-11-24,66
2025-11-25,74
2025-11-26,64
2025-11-27,59
2025-11-28,78
2025-11-29,51
2025-11-30,56
2025-12-01,75
2025-12-02,60
2025-12-03,84
2025-12-04,73
2025-12-05,72
2025-12-06,71
2025-12-07,63
2025-12-08,72
2025-12-09,61
2025-12-10,76
2025-12-11,62
2025-12-12,57
2025-12-13,62
